incident_id,field,support_reference_count,valid_evidence_count,valid_source_count,invalid_reference_count,traceable,contradiction,alternatives_preserved
inc_062ef1501b00ed3d,fatalities,10,10,2,0,True,False,False
inc_8930d05a0049fff1,fatalities,5,5,1,0,True,False,False
inc_b0eae1856641ab8d,fatalities,5,5,2,0,True,True,True
inc_b0eae1856641ab8d,injuries,2,2,1,0,True,False,False
inc_fe05c9db5620d056,fatalities,2,2,1,0,True,False,False
inc_a614ce723112d701,fatalities,5,5,1,0,True,False,False
inc_0dfd640a2f72df0c,fatalities,4,4,1,0,True,False,False
inc_4985f60f241b1138,fatalities,5,5,1,0,True,False,False
inc_be9d59ccd8bc33d1,fatalities,5,5,1,0,True,False,False
inc_1736ded0ab438f0a,fatalities,5,5,1,0,True,False,False
inc_ed58940e6eb097b3,fatalities,5,5,1,0,True,False,False
inc_ed58940e6eb097b3,injuries,5,5,1,0,True,False,False
inc_f5feacf5559bb370,fatalities,5,5,1,0,True,False,False
inc_beabf6e7334ae486,fatalities,5,5,1,0,True,False,False
inc_beabf6e7334ae486,injuries,5,5,1,0,True,False,False
inc_abe446a31e7d529d,fatalities,5,5,1,0,True,False,False
inc_abe446a31e7d529d,injuries,5,5,1,0,True,False,False
inc_ebac2021f6015150,injuries,5,5,1,0,True,False,False
inc_611d033c78553e0e,fatalities,5,5,1,0,True,False,False
inc_6c669b15fe8e40d2,fatalities,5,5,1,0,True,False,False
inc_e0afcab1f9ef4e68,fatalities,5,5,1,0,True,False,False
inc_cfaf4016def510b8,fatalities,5,5,1,0,True,False,False
inc_cfaf4016def510b8,injuries,5,5,1,0,True,False,False
inc_2dba26284c3f4eaf,fatalities,5,5,1,0,True,False,False
inc_2dba26284c3f4eaf,injuries,5,5,1,0,True,False,False
inc_36606dd3867022d0,fatalities,10,10,2,0,True,False,False
inc_de96ad5fa64d168f,fatalities,5,5,1,0,True,False,False
inc_001e111e0160af47,fatalities,5,5,1,0,True,False,False
inc_e922c60d8bde6b4c,fatalities,5,5,1,0,True,False,False
inc_2566ad61661be61d,fatalities,5,5,1,0,True,False,False
inc_1725871d9f46d5f7,fatalities,5,5,1,0,True,False,False
inc_7a1aba27b4aad602,fatalities,10,10,2,0,True,False,False
inc_7a1aba27b4aad602,injuries,5,5,1,0,True,False,False
inc_175bfc5fbc6d88a6,fatalities,5,5,1,0,True,False,False
inc_7ea07d2df28489f4,fatalities,5,5,1,0,True,False,False
inc_bf0129bb303721c7,fatalities,5,5,1,0,True,False,False
inc_1da2a4076b766070,fatalities,10,10,2,0,True,False,False
inc_1da2a4076b766070,injuries,20,20,4,0,True,False,False
inc_1088c1ef67e28339,fatalities,5,5,1,0,True,False,False
inc_1088c1ef67e28339,injuries,5,5,1,0,True,False,False
inc_114d7b49043a2a37,fatalities,5,5,1,0,True,False,False
inc_114d7b49043a2a37,injuries,5,5,1,0,True,False,False
inc_e641ddcb2b16b10b,fatalities,5,5,1,0,True,False,False
inc_e641ddcb2b16b10b,injuries,5,5,1,0,True,False,False
inc_d03835305c64995a,fatalities,5,5,1,0,True,False,False
inc_d03835305c64995a,injuries,5,5,1,0,True,False,False
inc_c63534687190bbf5,fatalities,5,5,1,0,True,False,False
inc_8e2df6af2d1a96a5,fatalities,10,10,2,0,True,False,False
inc_119dca9fa759927c,fatalities,5,5,1,0,True,False,False
inc_119dca9fa759927c,injuries,5,5,1,0,True,False,False
inc_5060056755afa0c1,fatalities,5,5,1,0,True,False,False
inc_efa222ef536789ab,injuries,5,5,1,0,True,False,False
inc_90a01185a0cbe2a7,fatalities,5,5,1,0,True,False,False
inc_337b49beb5162752,injuries,5,5,1,0,True,False,False
inc_72ce8000e8fb5c79,fatalities,5,5,1,0,True,False,False
inc_72ce8000e8fb5c79,injuries,5,5,1,0,True,False,False
inc_67c4d8d41bed94d2,injuries,5,5,1,0,True,False,False
inc_b070cf1344f71d4f,fatalities,5,5,1,0,True,False,False
inc_b070cf1344f71d4f,injuries,5,5,1,0,True,False,False
inc_a6a21fd274671cf7,fatalities,5,5,1,0,True,False,False
inc_f8e2b635d7c89065,fatalities,5,5,1,0,True,False,False
inc_f8e2b635d7c89065,injuries,5,5,1,0,True,False,False
inc_ef1b5b4c069a5151,fatalities,10,10,2,0,True,False,False
inc_962fce969b17f529,injuries,5,5,1,0,True,False,False
inc_f51da73247fd38d8,fatalities,5,5,1,0,True,False,False
inc_a9ab4d5138a1cbab,fatalities,5,5,1,0,True,False,False
inc_956a1bf826838de5,fatalities,5,5,1,0,True,False,False
inc_956a1bf826838de5,injuries,5,5,1,0,True,False,False
inc_66cb83b9172783bb,fatalities,5,5,1,0,True,False,False
inc_fff6eba3330e08cb,fatalities,5,5,1,0,True,False,False
inc_3239fb5accf8e153,fatalities,5,5,1,0,True,False,False
inc_ca154ba4d75818c4,fatalities,5,5,1,0,True,False,False
inc_ffa9589057a7dcc7,fatalities,5,5,1,0,True,False,False
inc_ffa9589057a7dcc7,injuries,5,5,1,0,True,False,False
inc_759135daef76d10d,fatalities,5,5,1,0,True,False,False
inc_759135daef76d10d,injuries,5,5,1,0,True,False,False
inc_d18187534aa5b31f,fatalities,5,5,1,0,True,False,False
inc_c68a6867e9d11e8f,fatalities,5,5,1,0,True,False,False
inc_e70a3e44e0e04ba4,fatalities,5,5,1,0,True,False,False
inc_964dae6b996e364e,fatalities,5,5,1,0,True,False,False
inc_39ccf37485f4ce59,fatalities,5,5,1,0,True,False,False
inc_172ff7d8516513c2,fatalities,5,5,1,0,True,False,False
inc_a94c32e550e9c803,fatalities,10,10,2,0,True,False,False
inc_a5cee691df320ecd,fatalities,5,5,1,0,True,False,False
inc_3cca6ba61a72586a,fatalities,5,5,1,0,True,False,False
inc_e767da158e9cded5,fatalities,5,5,1,0,True,False,False
inc_05755bedcec3a707,fatalities,5,5,1,0,True,False,False
inc_2e33c3120cc087dd,fatalities,5,5,1,0,True,False,False
inc_a70bfc279b5e8bd8,fatalities,5,5,1,0,True,False,False
inc_797e94e26d6ee3b8,fatalities,5,5,1,0,True,False,False
inc_ed1c0987c0d44187,fatalities,5,5,1,0,True,False,False
inc_a3b3f6e096c88ed2,fatalities,5,5,1,0,True,False,False
inc_ff730bd27e8414b6,fatalities,5,5,1,0,True,False,False
inc_6bc2aaee2ac0cec0,fatalities,5,5,1,0,True,False,False
inc_43a0b61b5e699a32,injuries,5,5,1,0,True,False,False
inc_174f491a4f42bac9,fatalities,10,10,2,0,True,False,False
inc_c532444311d4a726,injuries,5,5,1,0,True,False,False
inc_514f38dd11626380,fatalities,5,5,1,0,True,False,False
inc_514f38dd11626380,injuries,5,5,1,0,True,False,False
inc_7f20a59f0f2acbd1,fatalities,5,5,1,0,True,False,False
inc_c18e5ac4945b94ef,fatalities,5,5,1,0,True,False,False
inc_5a5dd2f97186f35c,injuries,5,5,1,0,True,False,False
inc_5613ff235f5c5b92,fatalities,5,5,1,0,True,False,False
inc_119578bc9ef08f46,fatalities,5,5,1,0,True,False,False
inc_4d0ba6d11e82c075,fatalities,5,5,1,0,True,False,False
inc_4d0ba6d11e82c075,injuries,5,5,1,0,True,False,False
inc_21c5fe8bf69115f6,fatalities,5,5,1,0,True,False,False
inc_21c5fe8bf69115f6,injuries,5,5,1,0,True,False,False
inc_f69d5249e11fc73a,injuries,5,5,1,0,True,False,False
inc_c613b89047bb9ed0,fatalities,5,5,1,0,True,False,False
inc_e34c9b64056f9976,fatalities,5,5,1,0,True,False,False
inc_88e57b92d8bffabd,fatalities,5,5,1,0,True,False,False
inc_6867acc1131ed8ab,fatalities,5,5,1,0,True,False,False
inc_84812748e3a68177,fatalities,5,5,1,0,True,False,False
inc_1fc495ce771b6a96,injuries,5,5,1,0,True,False,False
inc_15e094f71c40deff,fatalities,5,5,1,0,True,False,False
inc_d8a572becdb97020,fatalities,5,5,1,0,True,False,False
inc_4fa65c00f7185d20,fatalities,5,5,1,0,True,False,False
inc_c78ccc5dd386a6af,fatalities,5,5,1,0,True,False,False
inc_c78ccc5dd386a6af,injuries,5,5,1,0,True,False,False
inc_e77ad766a82e0578,injuries,5,5,1,0,True,False,False
